# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
апраксию = апр+аксию  # 1, модель апракс+ию, апраксия:N:inanim,fem,sg,acc
бардах = б+ардах  # 1, модель бард+ах, бард:N:anim,mas,pl,prp
бедуину = беду+ину  # 1, модель бед+уину, бедуин:N:anim,mas,sg,dat
битку = битк+у  # 1, модель б+итку, биток:N:inanim,mas,sg,dat
благодарена = благодарен+а  # 1, модель благодар+ена, благодарить:PARTICIPLE_SHORT:imperf,trans,anim,inanim,past,pass,sg,fem
благодарены = благодарен+ы  # 1, модель благодар+ены, благодарить:PARTICIPLE_SHORT:imperf,trans,anim,inanim,past,pass,pl
братанах = брат+анах  # 1, модель братан+ах, братан:N:anim,mas,pl,prp
бутылям = бут+ылям  # 1, модель бутыл+ям, бутыль:N:inanim,fem,pl,dat
великовозрастная = великов+озрастная  # 1, модель великовозр+астная, великовозрастный:A:fem,sg,nom,anim,inanim
весок = в+есок  # 1, модель вес+ок, веский:ADJ_SHORT:qual,mas,sg,anim,inanim
вечерке = вечерк+е  # 1, модель веч+ерке, вечерок:N:inanim,mas,sg,prp
взбудоражившему = взбудор+ажившему  # 1, модель взбудораж+ившему, взбудоражить:PARTICIPLE:perf,trans,anim,inanim,past,act,sg,mas,dat
взбудораживших = взбудор+аживших  # 1, модель взбудораж+ивших, взбудоражить:PARTICIPLE:perf,trans,anim,inanim,past,act,pl,gen
воздана = воздан+а  # 1, модель в+оздана, воздать:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
выползавшие = выполз+авшие  # 1, модель в+ыползавшие, выползать:PARTICIPLE:imperf,intrans,anim,inanim,past,act,pl,nom
высокооплачиваем = высокоопл+ачиваем  # 1, модель высокооплач+иваем, высокооплачиваемый:ADJ_SHORT:mas,sg,anim,inanim
глашу = глаш+у  # 1, модель гл+ашу, гласить:V:imperf,trans,act,pres,1p,sg
градскому = гр+адскому  # 1, модель градск+ому, градский:A:mas,sg,dat,anim,inanim
дыбах = д+ыбах  # 1, модель дыб+ах, дыба:N:inanim,fem,pl,prp
запасен = зап+асен  # 1, модель запасен, запасный:ADJ_SHORT:mas,sg,anim,inanim
запасна = зап+асна  # 1, модель запасн+а, запасный:ADJ_SHORT:fem,sg,anim,inanim
запершее = з+апершее  # 1, модель зап+ершее, запереть:PARTICIPLE:perf,trans,anim,inanim,past,act,sg,neu,acc
золочена = золочен+а  # 1, модель золоч+ена, золотить:PARTICIPLE_SHORT:imperf,trans,anim,inanim,past,pass,sg,fem
казанной = к+азанной  # 1, модель каз+анной, казать:PARTICIPLE:imperf,trans,anim,inanim,past,pass,sg,fem,dat
квасное = квасн+ое  # 1, модель кв+асное, квасной:A:neu,sg,acc,anim,inanim
керченский = к+ерченский  # 1, модель керч+енский, керченский:A:mas,sg,acc,inanim
клоке = клок+е  # 1, модель кл+оке, клок:N:inanim,mas,sg,prp
клятых = кл+ятых  # 1, модель клят+ых, клясть:PARTICIPLE:imperf,trans,anim,inanim,past,pass,pl,gen
